,Selling Price,MRP,Discount,Rating,Discount_Amount,Discount_Computed_%,Gender,Color,Fit,Product_Type,Print_Type,Category
138,699,2399.0,70.0,4.4,1700.0,70.9,Men,Brown,Super Loose,Sweater,Typography,Outerwear
139,749,2699.0,72.0,4.4,1950.0,72.2,Men,Blue,Super Loose,Sweater,Typography,Outerwear
140,999,2199.0,54.0,4.7,1200.0,54.6,Men,Black,Unknown,T-Shirt,Solid,Topwear
141,999,2199.0,54.0,4.7,1200.0,54.6,Men,Black,Unknown,T-Shirt,Solid,Topwear
142,999,2199.0,54.0,4.7,1200.0,54.6,Men,Blue,Unknown,T-Shirt,Solid,Topwear
143,1199,2099.0,42.0,4.7,900.0,42.9,Men,Brown,Oversized,T-Shirt,Solid,Topwear
144,1199,2099.0,42.0,4.7,900.0,42.9,Men,Black,Oversized,T-Shirt,Solid,Topwear
145,799,2099.0,61.0,4.7,1300.0,61.9,Men,Pink,Unknown,T-Shirt,Solid,Topwear
146,999,3199.0,68.0,4.7,2200.0,68.8,Men,Blue,Oversized,T-Shirt,Graphic,Topwear
147,999,2499.0,60.0,4.7,1500.0,60.0,Men,Pink,Unknown,T-Shirt,Solid,Topwear
148,999,1999.0,50.0,4.7,1000.0,50.0,Men,Brown,Unknown,T-Shirt,Solid,Topwear
149,799,2099.0,61.0,4.7,1300.0,61.9,Men,Grey,Unknown,T-Shirt,Solid,Topwear
150,799,2099.0,61.0,4.7,1300.0,61.9,Men,Blue,Unknown,T-Shirt,Solid,Topwear
151,999,2699.0,62.0,4.7,1700.0,63.0,Men,Purple,Oversized,T-Shirt,Solid,Topwear
152,999,1999.0,50.0,4.7,1000.0,50.0,Men,Blue,Unknown,T-Shirt,Solid,Topwear
153,899,3199.0,71.0,4.7,2300.0,71.9,Men,Brown,Oversized,T-Shirt,Graphic,Topwear
154,799,2099.0,61.0,4.7,1300.0,61.9,Men,Black,Unknown,T-Shirt,Solid,Topwear
155,1299,2499.0,48.0,4.7,1200.0,48.0,Men,White,Unknown,T-Shirt,Printed,Topwear
